[23:46:25] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:46:27] [ServerMain/INFO]: Loaded 7 recipes
[23:46:27] [ServerMain/INFO]: Loaded 1271 advancements
[23:46:27] [Server thread/INFO]: Starting minecraft server version 1.20.1
[23:46:27] [Server thread/INFO]: Loading properties
[23:46:27] [Server thread/INFO]: Default game type: SURVIVAL
[23:46:27] [Server thread/INFO]: Generating keypair
[23:46:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:46:28] [Server thread/INFO]: Using epoll channel type
[23:46:28] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:46:28] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:46:28] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:46:28] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:46:28] [Server thread/INFO]: Preparing level "world"
[23:46:33] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:46:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:46:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:46:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:46:34] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[23:46:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[23:46:35] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[23:46:36] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[23:46:36] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[23:46:37] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[23:46:37] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[23:46:38] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[23:46:38] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[23:46:39] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[23:46:39] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[23:46:40] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[23:46:40] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[23:46:41] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[23:46:41] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[23:46:42] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[23:46:42] [Worker-Main-1/INFO]: Preparing spawn area: 21%
[23:46:43] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[23:46:43] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[23:46:44] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[23:46:44] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[23:46:45] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[23:46:45] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[23:46:46] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[23:46:46] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[23:46:47] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[23:46:47] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[23:46:48] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[23:46:48] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[23:46:49] [Worker-Main-1/INFO]: Preparing spawn area: 49%
[23:46:49] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[23:46:50] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[23:46:50] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[23:46:51] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[23:46:51] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[23:46:52] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[23:46:52] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[23:46:53] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[23:46:53] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[23:46:54] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[23:46:54] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[23:46:55] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[23:46:55] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[23:46:56] [Worker-Main-3/INFO]: Preparing spawn area: 88%
[23:46:56] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[23:46:57] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[23:46:57] [Server thread/INFO]: Time elapsed: 24481 ms
[23:46:57] [Server thread/INFO]: Done (29.735s)! For help, type "help"
